objectid,borough,maintainer,gla_tree_name,tree_name,taxon_name,common_name,age,age_group,height_m,spread_m,canopy_spread_group,diameter_at_breast_height_cm,dbh_group,longitude,latitude,condition,load_date,updated
812238,Newham,Newham,Whitebeam,Whitebeam,Sorbus aucuparia,Mountain ash,,,,,,,,0.05413135,51.50225218,,20180214,20210715
812239,Newham,Newham,Whitebeam,Whitebeam,Sorbus aucuparia,Mountain ash,,,,,,,,0.05412302,51.50222715,,20180214,20210715
812240,Newham,Newham,Cherry,Cherry,Prunus cerasifera pissardii,Cherry,,,,,,,,0.04931092,51.50226997,,20180214,20210715
812241,Newham,Newham,Other,Other,Sambucus nigra,Elder,,,,,,,,0.05110378,51.50221435,,20180214,20210715
812242,Newham,Newham,Whitebeam,Whitebeam,Sorbus intermedia,Swedish whitebeam,,,,,,,,0.0527922,51.50233588,,20180214,20210715
812243,Newham,Newham,Whitebeam,Whitebeam,Sorbus intermedia,Swedish whitebeam,,,,,,,,0.05273893,51.50233682,,20180214,20210715
812244,Newham,Newham,Whitebeam,Whitebeam,Sorbus intermedia,Swedish whitebeam,,,,,,,,0.05268146,51.50234052,,20180214,20210715
812245,Newham,Newham,Whitebeam,Whitebeam,Sorbus intermedia,Swedish whitebeam,,,,,,,,0.05307647,51.50231292,,20180214,20210715
812246,Newham,Newham,Apple,Apple,Malus vietschii,Flowering crab,,,,,,,,0.02504562,51.52483962,,20180214,20210715
812247,Newham,Newham,Apple,Apple,Malus vietschii,Flowering crab,,,,,,,,0.02498193,51.52473641,,20180214,20210715
812248,Newham,Newham,Birch,Birch,Betula ermanii,Birch,,,,,,,,0.03895351,51.54718382,,20180214,20210715
812249,Newham,Newham,Plane,Plane,Platanus x hispanica,London plane,,,,,,,,0.03347942,51.52957315,,20180214,20210715
812250,Newham,Newham,Whitebeam,Whitebeam,Sorbus aucuparia streetwise,Mountain ash,,,,,,,,0.0213196,51.55088819,,20180214,20210715
812251,Newham,Newham,Cherry,Cherry,Prunus unk species,Cherry,,,,,,,,0.05668513,51.5182307,,20180214,20210715
812252,Newham,Newham,Cherry,Cherry,Prunus unk species,Cherry,,,,,,,,0.05675836,51.51825639,,20180214,20210715
812253,Newham,Newham,Cherry,Cherry,Prunus unk species,Cherry,,,,,,,,0.05683037,51.51825513,,20180214,20210715
812254,Newham,Newham,Cherry,Cherry,Prunus unk species,Cherry,,,,,,,,0.05757363,51.51811619,,20180214,20210715
812255,Newham,Newham,Cherry,Cherry,Prunus unk species,Cherry,,,,,,,,0.05754604,51.51814366,,20180214,20210715
812256,Newham,Newham,Cherry,Cherry,Prunus unk species,Cherry,,,,,,,,0.05751845,51.51817112,,20180214,20210715
812257,Newham,Newham,Cherry,Cherry,Prunus unk species,Cherry,,,,,,,,0.05747646,51.51819883,,20180214,20210715
812258,Newham,Newham,Cherry,Cherry,Prunus unk species,Cherry,,,,,,,,0.05743447,51.51822655,,20180214,20210715
812259,Newham,Newham,Cherry,Cherry,Prunus unk species,Cherry,,,,,,,,0.05739248,51.51825426,,20180214,20210715
812260,Newham,Newham,Cherry,Cherry,Prunus spinosa,Blackthorn,,,,,,,,0.05730687,51.51827375,,20180214,20210715
812261,Newham,Newham,Cherry,Cherry,Prunus unk species,Cherry,,,,,,,,0.05730849,51.51830969,,20180214,20210715
812262,Newham,Newham,Cherry,Cherry,Prunus unk species,Cherry,,,,,,,,0.05729611,51.51835487,,20180214,20210715
812263,Newham,Newham,Cherry,Cherry,Prunus unk species,Cherry,,,,,,,,0.05729814,51.5183998,,20180214,20210715
